date,is_known,is_EU,country,duration_sec,analysis_period,trigger_48h,trigger_7d,trigger_1M
2024-05-17 13:08:33,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-17 13:24:19,True,True,DE,131,Baseline (Pre-Audit),False,False,False
2024-05-22 10:49:54,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-25 11:47:58,True,True,DE,11,Baseline (Pre-Audit),False,False,False
2024-05-27 18:35:59,True,True,DE,816,Baseline (Pre-Audit),False,False,False
2024-05-28 16:59:24,True,True,DE,52,Baseline (Pre-Audit),False,False,False
2024-05-29 13:13:05,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-05-29 18:02:15,True,True,DE,565,Baseline (Pre-Audit),False,False,False
2024-05-30 12:10:17,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-05-30 12:45:51,True,True,DE,52,Baseline (Pre-Audit),False,False,False
2024-05-31 11:12:52,False,True,DE,5,Baseline (Pre-Audit),False,False,False
2024-05-31 11:19:34,True,True,DE,68,Baseline (Pre-Audit),False,False,False
2024-05-31 12:17:11,True,True,DE,27,Baseline (Pre-Audit),False,False,False
2024-05-31 18:01:05,True,True,DE,13,Baseline (Pre-Audit),False,False,False
2024-06-02 15:46:38,False,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-02 18:55:26,True,True,DE,51,Baseline (Pre-Audit),False,False,False
2024-06-02 19:12:26,True,True,DE,76,Baseline (Pre-Audit),False,False,False
2024-06-03 15:48:34,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2024-06-04 09:02:30,False,True,DE,30,Baseline (Pre-Audit),False,False,False
2024-06-06 21:15:22,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-07 18:26:08,False,False,Non-EU,8,Baseline (Pre-Audit),False,False,False
2024-06-08 15:07:49,True,True,DE,7,Baseline (Pre-Audit),False,False,False
2024-06-08 21:29:29,True,True,DE,13,Baseline (Pre-Audit),False,False,False
2024-06-10 21:29:33,True,True,DE,10,Baseline (Pre-Audit),False,False,False
2024-06-14 08:36:33,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-14 20:25:28,True,True,DE,12,Baseline (Pre-Audit),False,False,False
2024-06-14 22:08:20,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-14 22:10:36,True,True,DE,297,Baseline (Pre-Audit),False,False,False
2024-06-15 09:09:02,True,True,DE,44,Baseline (Pre-Audit),False,False,False
2024-06-15 10:03:21,True,True,DE,11,Baseline (Pre-Audit),False,False,False
2024-06-15 20:44:43,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-15 20:45:49,True,True,DE,6,Baseline (Pre-Audit),False,False,False
2024-06-17 10:12:13,True,True,DE,26,Baseline (Pre-Audit),False,False,False
2024-06-21 08:55:17,False,,,0,Baseline (Pre-Audit),False,False,False
2024-06-21 12:13:20,False,,,0,Baseline (Pre-Audit),False,False,False
2024-06-21 14:25:10,False,,,89,Baseline (Pre-Audit),False,False,False
2024-06-24 14:44:41,True,True,DE,66,Baseline (Pre-Audit),False,False,False
2024-06-25 00:03:17,True,True,DE,20,Baseline (Pre-Audit),False,False,False
2024-06-25 17:39:47,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-25 19:18:45,True,True,DE,97,Baseline (Pre-Audit),False,False,False
2024-06-25 21:17:24,True,True,DE,28,Baseline (Pre-Audit),False,False,False
2024-06-26 16:25:31,True,True,DE,33,Baseline (Pre-Audit),False,False,False
2024-06-27 19:45:34,True,True,DE,33,Baseline (Pre-Audit),False,False,False
2024-06-27 20:56:26,True,True,DE,158,Baseline (Pre-Audit),False,False,False
2024-06-27 21:00:42,True,True,DE,48,Baseline (Pre-Audit),False,False,False
2024-06-28 17:17:19,True,True,DE,7,Baseline (Pre-Audit),False,False,False
2024-06-29 07:27:10,True,True,DE,28,Baseline (Pre-Audit),False,False,False
2024-06-29 07:29:25,True,True,DE,15,Baseline (Pre-Audit),False,False,False
2024-06-29 15:55:09,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 15:55:35,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 15:55:43,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 16:02:33,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 16:05:11,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 16:07:00,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2024-06-29 16:20:57,True,True,DE,15,Baseline (Pre-Audit),False,False,False
2024-06-29 16:21:36,True,True,DE,7,Baseline (Pre-Audit),False,False,False
